Temps	Intensity_0
0	15030.2
5	15019.6
10	15009
15	14998.3
20	14987.7
25	14977.1
30	14966.4
35	14969
40	14982.2
45	15013.8
50	15045.4
55	15077
60	15108.6
65	15140.2
70	15171.8
75	15203.4
80	15235
85	15266.6
90	15298.2
95	15329.8
100	15348.1
105	15375.6
110	15384.6
115	15393.6
120	15402.7
125	15411.7
130	15420.8
135	15429.8
140	15438.9
145	15447.9
150	15475.2
155	15522.9
160	15570.6
165	15618.3
170	15685.9
175	15753.4
180	15833.5
185	15913.5
190	16013.3
195	16113.1
200	16212.8
205	16318
210	16423.9
215	16511.4
220	16578.7
225	16654.5
230	16746.1
235	16808.7
240	16877.2
245	16940.5
250	17005.5
255	17050.8
260	17096
265	17167.6
270	17233.7
275	17299.1
280	17365
285	17435.3
290	17485.3
295	17519.5
300	17553.8
305	17582.2
310	17603.3
315	17604.8
320	17606.3
325	17607.7
330	17583
335	17558.2
340	17520.5
345	17482.4
350	17439.9
355	17409.1
360	17378.3
365	17347.5
370	17316.7
375	17285.8
380	17273
385	17260.1
390	17247.2
395	17234.4
400	17238
405	17254.5
410	17256.6
415	17258.7
420	17260.7
425	17262.8
430	17264.9
435	17267
440	17269
445	17271.1
450	17273.2
455	17275.2
460	17277.3
465	17262.9
470	17251.9
475	17255.3
480	17258.8
485	17262.3
490	17265.7
495	17269.2
500	17272.7
505	17276.1
510	17279.6
515	17283
520	17286.5
525	17300.2
530	17312.4
535	17314.6
540	17316.7
545	17318.9
550	17321
555	17323.2
560	17325.3
565	17327.4
570	17329.6
575	17331.7
580	17333.9
585	17336
590	17327.9
595	17322.8
600	17324.3
605	17339.3
610	17354.3
615	17369.2
620	17392.4
625	17415.6
630	17438.7
635	17461.9
640	17485.1
645	17508.3
650	17531.4
655	17554.6
660	17576.3
665	17597.9
670	17606.1
675	17639.8
680	17667.6
685	17687.1
690	17706.7
695	17726.2
700	17743
705	17759.8
710	17776.6
715	17793.4
720	17810.2
725	17827.1
730	17843.9
735	17860.7
740	17851.9
745	17849.2
750	17846.4
755	17843.7
760	17846.8
765	17852.7
770	17858.6
775	17864.5
780	17870.3
785	17876.2
790	17890.4
795	17904.5
800	17918.7
805	17932.8
810	17947
815	17963.5
820	17980.1
825	17994.2
830	18008.3
835	18022.4
840	18036.5
845	18055.9
850	18075.3
855	18086.4
860	18097.5
865	18108.6
870	18141.1
875	18173.6
880	18203.7
885	18240.4
890	18273.7
895	18306.9
900	18340.2
905	18373.5
910	18401.4
915	18429.4
920	18489.5
925	18549.6
930	18609.6
935	18648.3
940	18686.9
945	18725.6
950	18757.7
955	18789.8
960	18837.4
965	18885
970	18932.6
975	18980.2
980	19035.9
985	19036
990	19036.1
995	19036.2
1000	19018.3
1005	19000.3
1010	18982.3
1015	18964.3
1020	18946.3
1025	18912.8
1030	18879.3
1035	18845.8
1040	18812.3
1045	18770.6
1050	18733.1
1055	18678.3
1060	18623.6
1065	18586.9
1070	18550.3
1075	18513.6
1080	18477
1085	18440.3
1090	18403.7
1095	18367
1100	18330.4
1105	18293.7
1110	18257.1
1115	18266.8
1120	18293.6
1125	18344.9
1130	18396.1
1135	18459.3
1140	18522.6
1145	18585.8
1150	18649
1155	18712.2
1160	18775.4
1165	18838.7
1170	18901.9
1175	18965.1
1180	19087.3
1185	19209.6
1190	19319.2
1195	19428.8
1200	19526.4
1205	19624
1210	19737.7
1215	19851.4
1220	19965.1
1225	20078.8
1230	20192.6
1235	20315.2
1240	20437.9
1245	20474.6
1250	20511.4
1255	20536.4
1260	20561.5
1265	20586.5
1270	20609.8
1275	20617
1280	20624.2
1285	20631.4
1290	20638.6
1295	20645.8
1300	20644.1
1305	20642.4
1310	20640.6
1315	20638.9
1320	20637.2
1325	20635.5
1330	20636.1
1335	20638.4
1340	20646.8
1345	20655.1
1350	20663.4
1355	20671.7
1360	20680
1365	20688.4
1370	20696.7
1375	20705
1380	20713.3
1385	20721.6
1390	20740
1395	20756
1400	20772.1
1405	20786.6
1410	20801.1
1415	20815.6
1420	20830
1425	20844.5
1430	20859
1435	20873.5
1440	20888
1445	20902.5
1450	20917
1455	20921.4
1460	20930.1
1465	20938.9
1470	20943.2
1475	20947.4
1480	20967.9
1485	20988.4
1490	21008.8
1495	21029.3
1500	21049.7
1505	21070.2
1510	21090.6
1515	21111.1
1520	21176.7
1525	21238.1
