:Data_list: 20141031_Gp_xr_5m.txt
:Created: 2014 Nov 01 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 10 31  0000   56961      0     1.73e-08    1.28e-06    1.35e-02
2014 10 31  0005   56961    300     9.32e-08    1.54e-06    5.90e-02
2014 10 31  0010   56961    600     8.29e-08    1.69e-06    4.88e-02
2014 10 31  0015   56961    900     4.61e-08    1.57e-06    2.91e-02
2014 10 31  0020   56961   1200     1.95e-08    1.35e-06    1.44e-02
2014 10 31  0025   56961   1500     2.05e-08    1.29e-06    1.59e-02
2014 10 31  0030   56961   1800     7.56e-08    1.42e-06    5.02e-02
2014 10 31  0035   56961   2100     6.59e-07    2.82e-06    2.27e-01
2014 10 31  0040   56961   2400     1.26e-06    4.70e-06    2.68e-01
2014 10 31  0045   56961   2700     1.62e-06    6.24e-06    2.60e-01
2014 10 31  0050   56961   3000     1.73e-06    7.39e-06    2.35e-01
2014 10 31  0055   56961   3300     1.58e-06    7.91e-06    2.00e-01
2014 10 31  0100   56961   3600     1.38e-06    8.02e-06    1.73e-01
2014 10 31  0105   56961   3900     1.15e-06    7.62e-06    1.50e-01
2014 10 31  0110   56961   4200     9.40e-07    7.27e-06    1.29e-01
2014 10 31  0115   56961   4500     7.44e-07    6.87e-06    1.08e-01
2014 10 31  0120   56961   4800     5.85e-07    6.43e-06    9.09e-02
2014 10 31  0125   56961   5100     4.77e-07    6.01e-06    7.93e-02
2014 10 31  0130   56961   5400     3.72e-07    5.52e-06    6.73e-02
2014 10 31  0135   56961   5700     2.98e-07    5.05e-06    5.90e-02
2014 10 31  0140   56961   6000     2.35e-07    4.60e-06    5.10e-02
2014 10 31  0145   56961   6300     1.75e-07    4.09e-06    4.27e-02
2014 10 31  0150   56961   6600     1.31e-07    3.64e-06    3.61e-02
2014 10 31  0155   56961   6900     9.81e-08    3.20e-06    3.06e-02
2014 10 31  0200   56961   7200     8.84e-08    2.96e-06    2.98e-02
2014 10 31  0205   56961   7500     5.69e-08    2.51e-06    2.26e-02
2014 10 31  0210   56961   7800     4.18e-08    2.22e-06    1.88e-02
2014 10 31  0215   56961   8100     3.14e-08    1.99e-06    1.58e-02
2014 10 31  0220   56961   8400     2.34e-08    1.79e-06    1.30e-02
2014 10 31  0225   56961   8700     1.87e-08    1.61e-06    1.16e-02
2014 10 31  0230   56961   9000     2.01e-08    1.52e-06    1.32e-02
2014 10 31  0235   56961   9300     1.74e-08    1.43e-06    1.22e-02
2014 10 31  0240   56961   9600     1.90e-08    1.41e-06    1.34e-02
2014 10 31  0245   56961   9900     5.19e-08    1.58e-06    3.24e-02
2014 10 31  0250   56961  10200     2.42e-08    1.40e-06    1.73e-02
2014 10 31  0255   56961  10500     1.82e-08    1.30e-06    1.40e-02
2014 10 31  0300   56961  10800     1.49e-08    1.22e-06    1.22e-02
2014 10 31  0305   56961  11100     1.22e-08    1.16e-06    1.05e-02
2014 10 31  0310   56961  11400     1.26e-08    1.15e-06    1.09e-02
2014 10 31  0315   56961  11700     1.47e-08    1.16e-06    1.27e-02
2014 10 31  0320   56961  12000     1.27e-08    1.14e-06    1.11e-02
2014 10 31  0325   56961  12300     1.30e-08    1.12e-06    1.17e-02
2014 10 31  0330   56961  12600     1.30e-08    1.10e-06    1.18e-02
2014 10 31  0335   56961  12900     2.53e-08    1.16e-06    2.10e-02
2014 10 31  0340   56961  13200     2.74e-08    1.25e-06    2.17e-02
2014 10 31  0345   56961  13500     1.19e-08    1.14e-06    1.04e-02
2014 10 31  0350   56961  13800     1.35e-08    1.19e-06    1.13e-02
2014 10 31  0355   56961  14100     7.98e-09    1.07e-06    7.47e-03
2014 10 31  0400   56961  14400     1.28e-08    1.05e-06    1.21e-02
2014 10 31  0405   56961  14700     1.19e-08    1.10e-06    1.09e-02
2014 10 31  0410   56961  15000     8.91e-09    1.07e-06    8.33e-03
2014 10 31  0415   56961  15300     6.79e-09    1.05e-06    6.44e-03
2014 10 31  0420   56961  15600     5.10e-09    1.04e-06    4.92e-03
2014 10 31  0425   56961  15900     5.72e-09    1.01e-06    5.65e-03
2014 10 31  0430   56961  16200     8.47e-09    1.03e-06    8.24e-03
2014 10 31  0435   56961  16500     8.73e-09    1.04e-06    8.43e-03
2014 10 31  0440   56961  16800     8.77e-09    1.03e-06    8.50e-03
2014 10 31  0445   56961  17100     8.96e-09    1.04e-06    8.58e-03
2014 10 31  0450   56961  17400     1.67e-08    1.12e-06    1.47e-02
