:Data_list: 20141028_Gp_xr_5m.txt
:Created: 2014 Oct 29 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 10 28  0000   56958      0     1.34e-07    2.92e-06    4.59e-02
2014 10 28  0005   56958    300     1.34e-07    2.84e-06    4.71e-02
2014 10 28  0010   56958    600     2.46e-07    3.28e-06    7.30e-02
2014 10 28  0015   56958    900     2.94e-07    3.84e-06    7.61e-02
2014 10 28  0020   56958   1200     1.73e-07    3.41e-06    5.06e-02
2014 10 28  0025   56958   1500     1.28e-07    3.12e-06    4.10e-02
2014 10 28  0030   56958   1800     1.04e-07    2.87e-06    3.61e-02
2014 10 28  0035   56958   2100     8.89e-08    2.72e-06    3.27e-02
2014 10 28  0040   56958   2400     7.85e-08    2.58e-06    3.04e-02
2014 10 28  0045   56958   2700     1.02e-07    2.70e-06    3.75e-02
2014 10 28  0050   56958   3000     1.13e-07    2.84e-06    3.99e-02
2014 10 28  0055   56958   3300     9.72e-08    2.75e-06    3.53e-02
2014 10 28  0100   56958   3600     8.00e-08    2.60e-06    3.08e-02
2014 10 28  0105   56958   3900     5.91e-08    2.37e-06    2.49e-02
2014 10 28  0110   56958   4200     5.49e-08    2.32e-06    2.37e-02
2014 10 28  0115   56958   4500     4.86e-08    2.22e-06    2.18e-02
2014 10 28  0120   56958   4800     5.01e-08    2.21e-06    2.27e-02
2014 10 28  0125   56958   5100     7.01e-08    2.26e-06    3.07e-02
2014 10 28  0130   56958   5400     9.90e-08    2.49e-06    3.98e-02
2014 10 28  0135   56958   5700     8.07e-08    2.43e-06    3.32e-02
2014 10 28  0140   56958   6000     7.07e-08    2.35e-06    3.01e-02
2014 10 28  0145   56958   6300     9.65e-08    2.48e-06    3.87e-02
2014 10 28  0150   56958   6600     1.55e-07    2.89e-06    5.35e-02
2014 10 28  0155   56958   6900     1.37e-07    2.94e-06    4.65e-02
2014 10 28  0200   56958   7200     1.39e-07    2.98e-06    4.64e-02
2014 10 28  0205   56958   7500     2.74e-07    3.59e-06    7.54e-02
2014 10 28  0210   56958   7800     5.24e-07    4.76e-06    1.09e-01
2014 10 28  0215   56958   8100     1.24e-06    7.56e-06    1.62e-01
2014 10 28  0220   56958   8400     2.46e-06    1.26e-05    1.95e-01
2014 10 28  0225   56958   8700     3.76e-06    1.84e-05    2.04e-01
2014 10 28  0230   56958   9000     5.36e-06    2.41e-05    2.22e-01
2014 10 28  0235   56958   9300     7.06e-06    3.12e-05    2.26e-01
2014 10 28  0240   56958   9600     6.94e-06    3.47e-05    2.00e-01
2014 10 28  0245   56958   9900     5.42e-06    3.28e-05    1.65e-01
2014 10 28  0250   56958  10200     4.10e-06    2.98e-05    1.38e-01
2014 10 28  0255   56958  10500     3.03e-06    2.61e-05    1.16e-01
2014 10 28  0300   56958  10800     2.32e-06    2.30e-05    1.01e-01
2014 10 28  0305   56958  11100     1.90e-06    2.07e-05    9.16e-02
2014 10 28  0310   56958  11400     1.43e-06    1.80e-05    7.93e-02
2014 10 28  0315   56958  11700     1.54e-06    1.70e-05    9.04e-02
2014 10 28  0320   56958  12000     1.72e-06    1.68e-05    1.02e-01
2014 10 28  0325   56958  12300     1.17e-05    4.07e-05    2.69e-01
2014 10 28  0330   56958  12600     1.65e-05    6.52e-05    2.53e-01
2014 10 28  0335   56958  12900     1.02e-05    5.52e-05    1.82e-01
2014 10 28  0340   56958  13200     4.88e-06    3.65e-05    1.32e-01
2014 10 28  0345   56958  13500     2.47e-06    2.28e-05    1.08e-01
2014 10 28  0350   56958  13800     1.54e-06    1.55e-05    9.94e-02
2014 10 28  0355   56958  14100     1.29e-06    1.26e-05    1.02e-01
2014 10 28  0400   56958  14400     9.71e-07    1.06e-05    9.13e-02
2014 10 28  0405   56958  14700     7.72e-07    9.31e-06    8.29e-02
2014 10 28  0410   56958  15000     6.36e-07    8.32e-06    7.63e-02
2014 10 28  0415   56958  15300     4.82e-07    7.20e-06    6.67e-02
2014 10 28  0420   56958  15600     3.26e-07    6.08e-06    5.35e-02
2014 10 28  0425   56958  15900     2.74e-07    5.40e-06    5.08e-02
2014 10 28  0430   56958  16200     2.72e-07    5.17e-06    5.27e-02
2014 10 28  0435   56958  16500     3.34e-07    5.08e-06    6.55e-02
2014 10 28  0440   56958  16800     3.70e-07    5.15e-06    7.16e-02
2014 10 28  0445   56958  17100     2.19e-07    4.32e-06    5.04e-02
2014 10 28  0450   56958  17400     1.74e-07    3.85e-06    4.51e-02
2014 10 28  0455   56958  17700     1.52e-07    3.57e-06    4.24e-02
2014 10 28  0500   56958  18000     1.34e-07    3.29e-06    4.06e-02
2014 10 28  0505   56958  18300     1.24e-07    3.15e-06    3.93e-02
2014 10 28  0510   56958  18600     1.28e-07    3.15e-06    4.04e-02
2014 10 28  0515   56958  18900     1.24e-07    3.15e-06    3.92e-02
2014 10 28  0520   56958  19200     1.35e-07    3.20e-06    4.22e-02
2014 10 28  0525   56958  19500     1.03e-07    3.03e-06    3.39e-02
2014 10 28  0530   56958  19800     7.30e-08    2.67e-06    2.73e-02
2014 10 28  0535   56958  20100     8.25e-08    2.62e-06    3.14e-02
2014 10 28  0540   56958  20400     1.05e-07    2.76e-06    3.79e-02
2014 10 28  0545   56958  20700     1.06e-07    2.81e-06    3.77e-02
2014 10 28  0550   56958  21000     1.06e-07    2.92e-06    3.64e-02
2014 10 28  0555   56958  21300     1.37e-07    3.17e-06    4.32e-02
2014 10 28  0600   56958  21600     1.07e-07    3.03e-06    3.47e-02
2014 10 28  0605   56958  21900     1.46e-07    3.15e-06    4.34e-02
2014 10 28  0610   56958  22200     3.07e-07    4.01e-06    7.65e-02
2014 10 28  0615   56958  22500     2.17e-07    3.39e-06    6.39e-02
2014 10 28  0620   56958  22800     1.64e-07    3.19e-06    5.12e-02
2014 10 28  0625   56958  23100     1.26e-07    3.02e-06    4.18e-02
2014 10 28  0630   56958  23400     1.07e-07    3.00e-06    3.56e-02
2014 10 28  0635   56958  23700     8.58e-08    2.84e-06    3.02e-02
2014 10 28  0640   56958  24000     1.17e-07    3.06e-06    3.80e-02
2014 10 28  0645   56958  24300     8.55e-08    2.89e-06    2.96e-02
2014 10 28  0650   56958  24600     8.94e-08    2.93e-06    3.05e-02
2014 10 28  0655   56958  24900     9.22e-08    3.04e-06    3.03e-02
2014 10 28  0700   56958  25200     8.73e-08    3.06e-06    2.85e-02
2014 10 28  0705   56958  25500     7.50e-08    2.95e-06    2.54e-02
2014 10 28  0710   56958  25800     6.44e-08    2.79e-06    2.31e-02
2014 10 28  0715   56958  26100     6.51e-08    2.73e-06    2.39e-02
2014 10 28  0720   56958  26400     6.50e-08    2.71e-06    2.40e-02
2014 10 28  0725   56958  26700     6.88e-08    2.67e-06    2.58e-02
2014 10 28  0730   56958  27000     7.34e-08    2.67e-06    2.75e-02
2014 10 28  0735   56958  27300     8.85e-08    2.76e-06    3.20e-02
2014 10 28  0740   56958  27600     1.20e-07    2.95e-06    4.07e-02
2014 10 28  0745   56958  27900     1.45e-07    3.18e-06    4.55e-02
2014 10 28  0750   56958  28200     1.32e-07    3.18e-06    4.14e-02
2014 10 28  0755   56958  28500     1.46e-07    3.38e-06    4.32e-02
2014 10 28  0800   56958  28800     1.10e-07    3.13e-06    3.53e-02
2014 10 28  0805   56958  29100     1.25e-07    3.18e-06    3.92e-02
2014 10 28  0810   56958  29400     1.10e-07    3.16e-06    3.48e-02
2014 10 28  0815   56958  29700     9.39e-08    3.01e-06    3.12e-02
2014 10 28  0820   56958  30000     3.33e-07    4.48e-06    6.65e-02
2014 10 28  0825   56958  30300     3.42e-07    5.29e-06    6.17e-02
2014 10 28  0830   56958  30600     1.25e-07    3.61e-06    3.46e-02
2014 10 28  0835   56958  30900     1.39e-07    3.42e-06    4.05e-02
2014 10 28  0840   56958  31200     1.75e-07    3.69e-06    4.73e-02
2014 10 28  0845   56958  31500     2.31e-07    4.09e-06    5.62e-02
2014 10 28  0850   56958  31800     2.42e-07    4.22e-06    5.75e-02
2014 10 28  0855   56958  32100     2.19e-07    4.18e-06    5.23e-02
2014 10 28  0900   56958  32400     2.07e-07    4.21e-06    4.91e-02
