:Data_list: 20141101_Gp_xr_5m.txt
:Created: 2014 Nov 02 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 11 01  0000   56962      0     1.31e-09    6.82e-07    1.92e-03
2014 11 01  0005   56962    300     1.90e-09    6.86e-07    2.77e-03
2014 11 01  0010   56962    600     2.34e-09    6.92e-07    3.38e-03
2014 11 01  0015   56962    900     1.36e-09    6.93e-07    1.96e-03
2014 11 01  0020   56962   1200     1.19e-09    6.96e-07    1.71e-03
2014 11 01  0025   56962   1500     1.76e-09    6.99e-07    2.51e-03
2014 11 01  0030   56962   1800     2.01e-09    7.02e-07    2.87e-03
2014 11 01  0035   56962   2100     1.63e-09    7.25e-07    2.24e-03
2014 11 01  0040   56962   2400     3.44e-09    7.38e-07    4.66e-03
2014 11 01  0045   56962   2700     9.26e-09    7.78e-07    1.18e-02
2014 11 01  0050   56962   3000     1.56e-08    8.11e-07    1.92e-02
2014 11 01  0055   56962   3300     1.60e-08    8.18e-07    1.96e-02
2014 11 01  0100   56962   3600     1.41e-08    8.20e-07    1.72e-02
2014 11 01  0105   56962   3900     1.17e-08    8.16e-07    1.44e-02
2014 11 01  0110   56962   4200     1.02e-08    8.07e-07    1.26e-02
2014 11 01  0115   56962   4500     9.85e-09    8.11e-07    1.22e-02
2014 11 01  0120   56962   4800     9.65e-09    8.19e-07    1.18e-02
2014 11 01  0125   56962   5100     9.89e-09    8.34e-07    1.19e-02
2014 11 01  0130   56962   5400     7.09e-09    8.19e-07    8.65e-03
2014 11 01  0135   56962   5700     5.13e-09    8.00e-07    6.41e-03
2014 11 01  0140   56962   6000     3.71e-09    7.87e-07    4.72e-03
2014 11 01  0145   56962   6300     2.37e-09    7.78e-07    3.05e-03
2014 11 01  0150   56962   6600     3.67e-09    7.56e-07    4.85e-03
2014 11 01  0155   56962   6900     3.10e-09    7.51e-07    4.12e-03
2014 11 01  0200   56962   7200     2.94e-09    7.56e-07    3.87e-03
2014 11 01  0205   56962   7500     1.76e-09    7.46e-07    2.36e-03
2014 11 01  0210   56962   7800     2.75e-09    7.56e-07    3.61e-03
2014 11 01  0215   56962   8100     3.40e-09    7.50e-07    4.53e-03
2014 11 01  0220   56962   8400     3.14e-09    7.54e-07    4.16e-03
2014 11 01  0225   56962   8700     3.83e-09    7.90e-07    4.83e-03
2014 11 01  0230   56962   9000     2.03e-09    7.61e-07    2.66e-03
2014 11 01  0235   56962   9300     2.66e-09    7.65e-07    3.47e-03
2014 11 01  0240   56962   9600     4.54e-09    7.68e-07    5.91e-03
2014 11 01  0245   56962   9900     6.19e-09    7.69e-07    8.05e-03
2014 11 01  0250   56962  10200     6.63e-09    7.75e-07    8.55e-03
2014 11 01  0255   56962  10500     7.59e-09    7.83e-07    9.69e-03
2014 11 01  0300   56962  10800     6.88e-09    7.82e-07    8.79e-03
2014 11 01  0305   56962  11100     6.89e-09    7.81e-07    8.81e-03
2014 11 01  0310   56962  11400     5.66e-09    7.78e-07    7.27e-03
2014 11 01  0315   56962  11700     4.74e-09    7.66e-07    6.19e-03
2014 11 01  0320   56962  12000     4.45e-09    7.62e-07    5.85e-03
2014 11 01  0325   56962  12300     4.89e-09    7.57e-07    6.44e-03
2014 11 01  0330   56962  12600     6.92e-09    7.82e-07    8.84e-03
2014 11 01  0335   56962  12900     7.91e-09    7.75e-07    1.02e-02
2014 11 01  0340   56962  13200     1.47e-08    7.91e-07    1.85e-02
2014 11 01  0345   56962  13500     1.52e-08    7.95e-07    1.91e-02
2014 11 01  0350   56962  13800     1.35e-08    7.86e-07    1.71e-02
2014 11 01  0355   56962  14100     1.14e-08    7.80e-07    1.46e-02
2014 11 01  0400   56962  14400     8.74e-09    7.63e-07    1.15e-02
2014 11 01  0405   56962  14700     8.75e-09    7.58e-07    1.15e-02
2014 11 01  0410   56962  15000     5.26e-09    7.36e-07    7.14e-03
2014 11 01  0415   56962  15300     5.04e-09    7.21e-07    6.99e-03
2014 11 01  0420   56962  15600     9.13e-09    7.73e-07    1.17e-02
2014 11 01  0425   56962  15900     5.49e-09    7.74e-07    7.04e-03
2014 11 01  0430   56962  16200     2.84e-09    7.45e-07    3.81e-03
2014 11 01  0435   56962  16500     2.13e-09    7.14e-07    2.98e-03
2014 11 01  0440   56962  16800     2.14e-09    7.32e-07    2.93e-03
2014 11 01  0445   56962  17100     4.45e-09    8.04e-07    5.47e-03
2014 11 01  0450   56962  17400     1.08e-08    9.32e-07    1.15e-02
2014 11 01  0455   56962  17700     1.86e-08    1.10e-06    1.68e-02
2014 11 01  0500   56962  18000     2.93e-08    1.30e-06    2.24e-02
2014 11 01  0505   56962  18300     4.09e-08    1.55e-06    2.63e-02
2014 11 01  0510   56962  18600     5.50e-08    1.81e-06    3.04e-02
2014 11 01  0515   56962  18900     6.31e-08    2.02e-06    3.13e-02
2014 11 01  0520   56962  19200     6.71e-08    2.17e-06    3.09e-02
2014 11 01  0525   56962  19500     6.98e-08    2.30e-06    3.03e-02
2014 11 01  0530   56962  19800     8.33e-08    2.52e-06    3.30e-02
2014 11 01  0535   56962  20100     8.41e-08    2.65e-06    3.17e-02
2014 11 01  0540   56962  20400     8.24e-08    2.65e-06    3.11e-02
2014 11 01  0545   56962  20700     7.88e-08    2.68e-06    2.95e-02
2014 11 01  0550   56962  21000     7.18e-08    2.60e-06    2.76e-02
2014 11 01  0555   56962  21300     6.82e-08    2.56e-06    2.67e-02
2014 11 01  0600   56962  21600     6.26e-08    2.47e-06    2.53e-02
2014 11 01  0605   56962  21900     5.86e-08    2.39e-06    2.45e-02
2014 11 01  0610   56962  22200     5.76e-08    2.32e-06    2.48e-02
2014 11 01  0615   56962  22500     5.23e-08    2.24e-06    2.33e-02
2014 11 01  0620   56962  22800     4.69e-08    2.16e-06    2.17e-02
2014 11 01  0625   56962  23100     4.35e-08    2.10e-06    2.07e-02
2014 11 01  0630   56962  23400     4.05e-08    2.03e-06    2.00e-02
2014 11 01  0635   56962  23700     3.97e-08    1.98e-06    2.01e-02
2014 11 01  0640   56962  24000     3.92e-08    1.94e-06    2.02e-02
2014 11 01  0645   56962  24300     3.75e-08    1.90e-06    1.97e-02
2014 11 01  0650   56962  24600     3.58e-08    1.86e-06    1.92e-02
2014 11 01  0655   56962  24900     3.47e-08    1.82e-06    1.91e-02
2014 11 01  0700   56962  25200     3.41e-08    1.76e-06    1.94e-02
2014 11 01  0705   56962  25500     3.25e-08    1.70e-06    1.91e-02
2014 11 01  0710   56962  25800     3.06e-08    1.66e-06    1.84e-02
2014 11 01  0715   56962  26100     2.83e-08    1.63e-06    1.74e-02
2014 11 01  0720   56962  26400     2.59e-08    1.57e-06    1.65e-02
2014 11 01  0725   56962  26700     2.47e-08    1.51e-06    1.64e-02
2014 11 01  0730   56962  27000     1.90e-08    1.46e-06    1.31e-02
2014 11 01  0735   56962  27300     1.78e-08    1.41e-06    1.26e-02
2014 11 01  0740   56962  27600     1.68e-08    1.36e-06    1.24e-02
2014 11 01  0745   56962  27900     1.74e-08    1.37e-06    1.27e-02
2014 11 01  0750   56962  28200     1.60e-08    1.33e-06    1.20e-02
2014 11 01  0755   56962  28500     1.20e-08    1.25e-06    9.64e-03
2014 11 01  0800   56962  28800     1.01e-08    1.20e-06    8.41e-03
2014 11 01  0805   56962  29100     8.19e-09    1.15e-06    7.14e-03
2014 11 01  0810   56962  29400     7.06e-09    1.12e-06    6.30e-03
2014 11 01  0815   56962  29700     1.06e-08    1.13e-06    9.30e-03
2014 11 01  0820   56962  30000     1.14e-08    1.15e-06    9.80e-03
2014 11 01  0825   56962  30300     5.72e-09    1.07e-06    5.35e-03
2014 11 01  0830   56962  30600     4.42e-09    1.02e-06    4.31e-03
2014 11 01  0835   56962  30900     3.89e-09    1.00e-06    3.89e-03
2014 11 01  0840   56962  31200     4.54e-09    9.80e-07    4.62e-03
2014 11 01  0845   56962  31500     2.88e-09    9.27e-07    3.09e-03
2014 11 01  0850   56962  31800     1.75e-09    8.90e-07    1.97e-03
2014 11 01  0855   56962  32100     1.40e-09    8.62e-07    1.62e-03
2014 11 01  0900   56962  32400     1.59e-09    8.42e-07    1.89e-03
2014 11 01  0905   56962  32700     1.10e-09    8.22e-07    1.34e-03
2014 11 01  0910   56962  33000     1.61e-09    8.05e-07    2.00e-03
2014 11 01  0915   56962  33300     1.14e-09    8.11e-07    1.41e-03
2014 11 01  0920   56962  33600     1.54e-07    1.13e-06    1.07e-01
2014 11 01  0925   56962  33900     7.82e-07    2.28e-06    3.37e-01
2014 11 01  0930   56962  34200     1.44e-06    3.68e-06    3.92e-01
2014 11 01  0935   56962  34500     1.56e-06    4.38e-06    3.57e-01
2014 11 01  0940   56962  34800     1.30e-06    4.39e-06    2.96e-01
2014 11 01  0945   56962  35100     9.87e-07    4.07e-06    2.42e-01
2014 11 01  0950   56962  35400     7.04e-07    3.63e-06    1.93e-01
2014 11 01  0955   56962  35700     5.03e-07    3.22e-06    1.56e-01
2014 11 01  1000   56962  36000     3.62e-07    2.88e-06    1.25e-01
2014 11 01  1005   56962  36300     2.60e-07    2.55e-06    1.01e-01
2014 11 01  1010   56962  36600     1.76e-07    2.22e-06    7.91e-02
2014 11 01  1015   56962  36900     1.18e-07    1.91e-06    6.17e-02
2014 11 01  1020   56962  37200     2.53e-07    2.84e-06    8.00e-02
2014 11 01  1025   56962  37500     2.94e-07    3.46e-06    8.41e-02
2014 11 01  1030   56962  37800     1.23e-07    2.46e-06    4.91e-02
2014 11 01  1035   56962  38100     5.34e-08    1.72e-06    3.08e-02
2014 11 01  1040   56962  38400     3.23e-08    1.35e-06    2.38e-02
2014 11 01  1045   56962  38700     2.39e-08    1.16e-06    2.05e-02
2014 11 01  1050   56962  39000     1.69e-08    1.07e-06    1.58e-02
2014 11 01  1055   56962  39300     1.30e-08    9.87e-07    1.31e-02
2014 11 01  1100   56962  39600     9.59e-09    9.26e-07    1.03e-02
2014 11 01  1105   56962  39900     7.51e-09    8.93e-07    8.40e-03
2014 11 01  1110   56962  40200     5.36e-09    8.48e-07    6.31e-03
2014 11 01  1115   56962  40500     2.96e-09    8.05e-07    3.66e-03
2014 11 01  1120   56962  40800     1.36e-09    7.74e-07    1.76e-03
2014 11 01  1125   56962  41100     2.38e-09    7.40e-07    3.21e-03
2014 11 01  1130   56962  41400     1.25e-09    7.19e-07    1.73e-03
2014 11 01  1135   56962  41700     1.00e-09    6.99e-07    1.43e-03
2014 11 01  1140   56962  42000     1.00e-09    6.81e-07    1.47e-03
2014 11 01  1145   56962  42300     1.00e-09    6.62e-07    1.51e-03
2014 11 01  1150   56962  42600     1.14e-09    6.52e-07    1.74e-03
2014 11 01  1155   56962  42900     1.00e-09    6.44e-07    1.55e-03
2014 11 01  1200   56962  43200     1.03e-09    6.32e-07    1.63e-03
2014 11 01  1205   56962  43500     1.00e-09    6.24e-07    1.60e-03
